full_name,short_name,short_name_2,type,year,rate
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2018,0.6896
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2019,0.696280018
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2020,0.6592
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2021,0.694452628
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_13,2016,0.5684
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_13,2017,0.565794784
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_13,2018,0.6533
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_13,2019,0.7107
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_13,2020,0.7305
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_13,2021,0.701525173
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_25,2016,0.42
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_25,2017,0.49
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_25,2018,0.51
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_25,2019,0.54
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_25,2020,0.53
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_25,2021,0.62
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_25,2016,0.667785916
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_25,2017,0.55
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_25,2018,0.59
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_25,2019,0.74
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_25,2020,0.76
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_25,2021,0.79
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_25,2016,0.589278234
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_25,2017,0.562991367
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_25,2018,0.559953274
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_25,2019,0.613639375
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_25,2020,0.6567
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_25,2021,0.638630754
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_25,2016,0.478281825
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_25,2017,0.566366624
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_25,2018,0.648136735
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_25,2019,0.673
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_25,2020,0.644
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_25,2021,0.627580177
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_25,2016,0.421786749
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_25,2017,0.446992394
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_25,2018,0.500579022
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_25,2019,0.504686974
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_25,2020,0.5096
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_25,2021,0.58791929
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_25,2016,0.4246
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_25,2017,0.478259343
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_25,2018,0.501403899
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_25,2019,0.500297574
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_25,2020,0.4841
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_25,2021,0.442956123
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_25,2016,0.470578196
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_25,2017,0.538054787
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_25,2018,0.60102635
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_25,2019,0.614834928
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_25,2020,0.6502
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_25,2021,0.654948518
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_25,2016,0.409823895
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_25,2017,0.551308232
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_25,2018,0.583115603
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_25,2019,0.629381268
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_25,2020,0.6122
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_25,2021,0.660758581
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_25,2016,0.523
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_25,2017,0.523075406
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_25,2018,0.519545559
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_25,2019,0.521119414
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_25,2020,0.525
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_25,2021,0.534176573
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_25,2016,0.315851993
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_25,2017,0.322727395
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_25,2018,0.406569465
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_25,2019,0.456909003
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_25,2020,0.4034
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_25,2021,0.451283952
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_25,2016,0.612814124
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_25,2017,0.65
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_25,2018,0.61
